areaSqm,leaseDate,propertyType,district,areaSqft,noOfBedRoom,rent,project,street,y,x
180-190,0823,Non-landed Properties,23,2000-2100,4,4500,MERAWOODS,HILLVIEW AVENUE,37591.36252,19806.57039
180-190,0823,Non-landed Properties,23,2000-2100,4,7000,MERAWOODS,HILLVIEW AVENUE,37591.36252,19806.57039
130-140,0823,Non-landed Properties,23,1500-1600,2,3730,MERAWOODS,HILLVIEW AVENUE,37591.36252,19806.57039
120-130,0723,Non-landed Properties,23,1300-1400,3,5050,MERAWOODS,HILLVIEW AVENUE,37591.36252,19806.57039
120-130,0723,Non-landed Properties,23,1300-1400,3,4300,MERAWOODS,HILLVIEW AVENUE,37591.36252,19806.57039
120-130,0723,Non-landed Properties,23,1300-1400,3,5000,MERAWOODS,HILLVIEW AVENUE,37591.36252,19806.57039
120-130,0723,Non-landed Properties,23,1300-1400,3,5300,MERAWOODS,HILLVIEW AVENUE,37591.36252,19806.57039
90-100,0723,Non-landed Properties,23,1000-1100,2,3300,MERAWOODS,HILLVIEW AVENUE,37591.36252,19806.57039
190-200,0823,Non-landed Properties,15,2100-2200,3,6800,ELLIOT AT THE EAST COAST,ELLIOT ROAD,32621.92134,38865.17182
120-130,0723,Non-landed Properties,15,1300-1400,3,4800,ELLIOT AT THE EAST COAST,ELLIOT ROAD,32621.92134,38865.17182
160-170,0823,Non-landed Properties,15,1700-1800,4,6700,ELLIOT AT THE EAST COAST,ELLIOT ROAD,32621.92134,38865.17182
210-220,0823,Non-landed Properties,15,2300-2400,3,7650,ELLIOT AT THE EAST COAST,ELLIOT ROAD,32621.92134,38865.17182
150-160,0823,Non-landed Properties,15,1600-1700,3,5800,ELLIOT AT THE EAST COAST,ELLIOT ROAD,32621.92134,38865.17182
160-170,0723,Non-landed Properties,15,1700-1800,4,5500,ELLIOT AT THE EAST COAST,ELLIOT ROAD,32621.92134,38865.17182
150-200,0823,Terrace House,05,1500-2000,NA,8600,LANDED HOUSING DEVELOPMENT,NEO PEE TECK LANE,30589.1070785135,20914.1988965525
200-250,0723,Detached House,20,2000-2500,NA,6300,THOMSON RISE ESTATE,JALAN BERJAYA,37205.1604714807,29477.1444785353
100-110,0723,Non-landed Properties,15,1100-1200,3,4000,THE ESPIRA,LORONG L TELOK KURAU,32744.27496,37059.04377
70-80,0723,Non-landed Properties,19,800-900,3,3200,HILBRE28,HILLSIDE DRIVE,38102.25487,32648.82133
