project,noOfBedRoom,rental_rent,mean_areaSqft
# 1 LOFT,1,3125.0,550.0
# 1 SUITES,1,3575.0,550.0
1 CANBERRA,3,4200.0,1000.0
1 KING ALBERT PARK,2,4450.0,1150.0
1 MOULMEIN RISE,3,6433.333333333333,1250.0
10 SHELFORD,1,3250.0,450.0
11 AMBER ROAD,3,5500.0,1450.0
111 EMERALD HILL,3,14500.0,2150.0
111 EMERALD HILL,4,15000.0,2450.0
120 GRANGE,1,4392.75,450.0
120 GRANGE,2,4860.0,550.0
16 @ AMBER,1,3000.0,450.0
18 WOODSVILLE,1,3300.0,450.0
18 WOODSVILLE,3,5100.0,950.0
183 LONGHAUS,2,3700.0,750.0
1919,2,5500.0,850.0
2 RVG,2,5400.0,950.0
21 RICHARDS,2,4000.0,650.0
24 ONE RESIDENCES,2,4100.0,450.0
26 NEWTON,1,3562.5,550.0
26 NEWTON,2,4200.0,550.0
28 RC SUITES,1,2900.0,450.0
3 ORCHARD BY-THE-PARK,4,19500.0,2250.0
336 RIVER VALLEY,2,6000.0,1550.0
368 THOMSON,2,4687.5,850.0
368 THOMSON,4,7575.0,1750.0
38 I SUITES,1,2850.0,450.0
38 I SUITES,2,3800.0,650.0
38 JERVOIS,1,5200.0,450.0
38 JERVOIS,3,5200.0,850.0
6 DERBYSHIRE,1,3500.0,550.0
6 DERBYSHIRE,3,6100.0,1050.0
7 ON CHAPEL,2,4800.0,750.0
70@TRURO,3,4180.0,850.0
76 SHENTON,1,4739.0,600.0
76 SHENTON,2,5875.0,950.0
8 @ MOUNT SOPHIA,1,4850.0,850.0
8 @ MOUNT SOPHIA,2,5933.333333333333,1150.0
8 @ MOUNT SOPHIA,3,8500.0,1550.0
8 BASSEIN,1,3030.0,450.0
8 FARRER SUITES,2,1800.0,550.0
8 NAPIER,3,16512.5,2050.0
8 NAPIER,4,23000.0,>3000
8 RODYK,2,7500.0,1250.0
8 SAINT THOMAS,1,4300.0,450.0
8 SAINT THOMAS,2,9000.0,850.0
8 SAINT THOMAS,3,9587.5,1350.0
8@WOODLEIGH,2,4375.0,850.0
8@WOODLEIGH,3,5725.0,1050.0
8M RESIDENCES,1,3450.0,550.0
A TREASURE TROVE,2,3750.0,816.6666666666666
A TREASURE TROVE,3,4400.0,1116.6666666666667
A TREASURE TROVE,4,4400.0,1350.0
AALTO,3,6000.0,1550.0
AALTO,4,9200.0,1950.0
ADAM PARK CONDOMINIUM,2,4200.0,1150.0
ADAM PARK CONDOMINIUM,3,5333.333333333333,1250.0
ADAM PARK CONDOMINIUM,4,6000.0,1450.0
ADRIA,1,3700.0,550.0
ADRIA,2,4050.0,650.0
ADRIA,3,6500.0,1250.0
AIRSTREAM,1,2800.0,450.0
ALESSANDREA,3,4775.0,1050.0
ALEX RESIDENCES,1,3832.5,475.0
ALEX RESIDENCES,2,5324.0,650.0
ALEX RESIDENCES,3,6550.0,983.3333333333334
ALEXIS,1,3208.3333333333335,375.0
ALEXIS,2,3870.0,730.0
ALLSWORTH PARK,2,4200.0,1050.0
ALTEZ,1,5262.5,662.5
ALTEZ,2,8460.0,1130.0
ALTEZ,3,9900.0,1650.0
AMANINDA,1,3500.0,650.0
AMARANDA GARDENS,3,5270.0,1230.0
AMARANDA GARDENS,4,7000.0,1450.0
AMARYLLIS VILLE,1,3950.0,650.0
AMARYLLIS VILLE,2,5416.666666666667,950.0
AMARYLLIS VILLE,3,7033.333333333333,1383.3333333333333
AMBER 45,2,5087.5,675.0
AMBER 45,4,10000.0,1750.0
AMBER RESIDENCES,2,6175.0,1150.0
AMBER RESIDENCES,3,7600.0,1750.0
AMBER SKYE,3,7800.0,1350.0
AMPAS APARTMENT,3,5200.0,1250.0
ANGULLIA PARK RESIDENCES @ ORCHARD,2,6400.0,950.0
ANGULLIA PARK RESIDENCES @ ORCHARD,3,8000.0,1350.0
AQUARIUS BY THE PARK,2,3316.6666666666665,850.0
AQUARIUS BY THE PARK,3,4300.0,1330.0
ARCHIPELAGO,1,2940.0,590.0
ARCHIPELAGO,2,4057.1428571428573,878.5714285714286
ARCHIPELAGO,3,5200.0,1325.0
ARCHIPELAGO,4,5800.0,1650.0
ARDMORE II,4,15100.0,2050.0
ARDMORE PARK,4,22075.0,2862.5
ARDMORE RESIDENCE,4,34500.0,>3000
ARDMORE THREE,3,14500.0,1750.0
ARTHUR 118,2,5200.0,1750.0
ARTRA,2,6000.0,750.0
ARTRA,3,8025.0,1175.0
ASCENTIA SKY,2,6466.666666666667,1000.0
ASCENTIA SKY,3,8133.333333333333,1450.0
ASPEN HEIGHTS,2,5280.0,1050.0
ASPEN HEIGHTS,3,6850.0,1435.7142857142858
ASPEN HEIGHTS,4,7780.0,1550.0
ASPEN HEIGHTS,5,10900.0,>3000
