project,noOfBedRoom,district,rent,y,x,areaSqft_lower,areaSqft_higher,mean_areaSqft
# 1 LOFT,1,14.0,3250.0,32778.97962,33581.81022,500.0,600.0,550.0
# 1 SUITES,1,14.0,3685.714285714286,32734.88809,33353.017,514.2857142857143,614.2857142857143,564.2857142857143
1 CANBERRA,3,27.0,3825.0,46578.21809,27611.4486,950.0,1050.0,1000.0
1 KING ALBERT PARK,2,21.0,4875.0,35409.52156,22090.8437,1125.0,1225.0,1175.0
1 KING ALBERT PARK,3,21.0,3900.0,35409.52156,22090.8437,1200.0,1300.0,1250.0
1 MOULMEIN RISE,3,11.0,6375.0,33490.38374,29520.85307,1200.0,1300.0,1250.0
10 SHELFORD,1,11.0,3425.0,34217.25436,25676.83957,400.0,500.0,450.0
11 AMBER ROAD,3,15.0,5500.0,31263.27274,35346.21872,1400.0,1500.0,1450.0
111 EMERALD HILL,3,9.0,13500.0,31937.89336,28667.87615,2000.0,2100.0,2050.0
111 EMERALD HILL,4,9.0,15000.0,31937.89336,28667.87615,2400.0,2500.0,2450.0
120 GRANGE,1,10.0,4392.75,31363.99738,27138.2579,400.0,500.0,450.0
120 GRANGE,2,10.0,4883.333333333333,31363.99738,27138.2579,516.6666666666666,616.6666666666666,566.6666666666666
16 @ AMBER,1,15.0,3000.0,31325.41466,35283.52281,400.0,500.0,450.0
16 @ AMBER,2,15.0,4900.0,31325.41466,35283.52281,1200.0,1300.0,1250.0
18 WOODSVILLE,1,13.0,3175.0,34635.54476,31871.36676,400.0,500.0,450.0
18 WOODSVILLE,2,13.0,3760.0,34635.54476,31871.366759999997,740.0,840.0,790.0
18 WOODSVILLE,3,13.0,4700.0,34635.54476,31871.36676,900.0,1000.0,950.0
183 LONGHAUS,2,20.0,3700.0,37000.05083,28237.33008,700.0,800.0,750.0
1919,1,9.0,3600.0,31686.63635,29466.47218,500.0,600.0,550.0
1919,2,9.0,4700.0,31686.63635,29466.47218,700.0,800.0,750.0
2 RVG,1,9.0,4500.0,30985.65944,28119.43308,600.0,700.0,650.0
2 RVG,2,9.0,5433.333333333333,30985.65944,28119.43308,866.6666666666666,966.6666666666666,916.6666666666666
21 RICHARDS,2,19.0,4000.0,38205.82943,33341.91719,600.0,700.0,650.0
21 RICHARDS,3,19.0,3900.0,38205.82943,33341.91719,800.0,900.0,850.0
24 ONE RESIDENCES,2,5.0,3700.0,29175.62743,22610.76877,500.0,600.0,550.0
24 ONE RESIDENCES,3,5.0,5900.0,29175.62743,22610.76877,800.0,900.0,850.0
26 NEWTON,1,11.0,3512.5,33116.45355,28930.332990000003,440.0,540.0,490.0
26 NEWTON,2,11.0,4250.0,33116.45355,28930.33299,600.0,700.0,650.0
28 IMPERIAL RESIDENCES,1,14.0,2600.0,32667.28592,33698.5967,400.0,500.0,450.0
28 RC SUITES,1,8.0,2950.0,32485.42856,30194.08646,400.0,500.0,450.0
3 ORCHARD BY-THE-PARK,4,10.0,19500.0,31732.88874,27047.67666,2200.0,2300.0,2250.0
336 RIVER VALLEY,2,9.0,5750.0,30938.49217,28573.25503,1500.0,1600.0,1550.0
368 THOMSON,1,11.0,3800.0,34359.99589,28973.10365,600.0,700.0,650.0
368 THOMSON,2,11.0,4650.0,34359.99589,28973.103649999997,800.0,900.0,850.0
368 THOMSON,4,11.0,7216.666666666667,34359.99589,28973.10365,1700.0,1800.0,1750.0
38 AMBER,2,15.0,4500.0,31444.93743,35508.41576,800.0,900.0,850.0
38 AMBER,3,15.0,5300.0,31444.93743,35508.41576,1100.0,1200.0,1150.0
38 I SUITES,1,15.0,2900.0,32675.867760000005,35001.74821,516.6666666666666,616.6666666666666,566.6666666666666
38 I SUITES,2,15.0,3766.6666666666665,32675.867760000005,35001.74821,600.0,700.0,650.0
38 JERVOIS,1,10.0,5200.0,30712.74898,26826.42275,400.0,500.0,450.0
38 JERVOIS,3,10.0,5350.0,30712.74898,26826.42275,800.0,900.0,850.0
