index,project,noOfBedRoom,propertyType,district,rent,mean_areaSqft,lat,long,rentCategory
2,1 CANBERRA,3,Executive Condominium,27.0,3825.0,1000.0,1.4375106754569034,103.82982673694556,Low
4,1 KING ALBERT PARK,3,Private Condominium,21.0,3900.0,1250.0,1.3365044124072576,103.7802210507957,Low
5,1 MOULMEIN RISE,3,Private Condominium,11.0,6375.0,1250.0,1.3191489495292772,103.8469838987825,High
7,11 AMBER ROAD,3,Private Condominium,15.0,5500.0,1450.0,1.299006913473382,103.89932728741276,High
8,111 EMERALD HILL,3,Private Condominium,9.0,13500.0,2050.0,1.3051088048370418,103.83931942577831,Extreme
16,18 WOODSVILLE,3,Private Condominium,13.0,4700.0,950.0,1.329505171995808,103.86810462492636,Average
23,21 RICHARDS,3,Private Condominium,19.0,3900.0,850.0,1.3617933237323758,103.88131896507608,Low
25,24 ONE RESIDENCES,3,Private Condominium,5.0,5900.0,850.0,1.2801273893130882,103.78489395903264,High
36,38 AMBER,3,Private Condominium,15.0,5300.0,1150.0,1.3006497851199532,103.90078474285409,High
40,38 JERVOIS,3,Private Condominium,10.0,5350.0,850.0,1.2940290152943994,103.82277315084012,High
41,3@PHILLIPS,3,Private Condominium,19.0,3200.0,1050.0,1.363453458306528,103.87445424858734,Low
46,6 DERBYSHIRE,3,Private Condominium,11.0,6100.0,1050.0,1.3156052914913317,103.845821038107,High
49,70@TRURO,3,Private Condominium,8.0,4242.857142857143,850.0,1.3150015723674957,103.84903555188096,Low
54,8 @ MOUNT SOPHIA,3,Private Condominium,9.0,7525.0,1433.3333333333333,1.3010383598085782,103.8460413264229,Extreme
58,8 NAPIER,3,Private Condominium,10.0,15758.333333333334,2050.0,1.3069794105373165,103.82063276063066,Extreme
63,8 SAINT THOMAS,3,Private Condominium,9.0,9587.5,1350.0,1.29605242811987,103.83635238951382,Extreme
65,8@WOODLEIGH,3,Private Condominium,13.0,5537.5,1012.5,1.3364573005936586,103.8697026668795,High
