propertyType,y,x
Private Condominium,32778.97962,33581.81022
Private Condominium,32734.88809,33353.017
Executive Condominium,46578.21809,27611.4486
Private Condominium,35409.52156,22090.8437
Private Condominium,35409.52156,22090.8437
Private Condominium,33490.38374,29520.85307
Private Condominium,34217.25436,25676.83957
Private Condominium,31263.27274,35346.21872
Private Condominium,31937.89336,28667.87615
Private Condominium,31937.89336,28667.87615
Private Condominium,31363.99738,27138.2579
Private Condominium,31363.99738,27138.2579
Private Condominium,31325.41466,35283.52281
Private Condominium,31325.41466,35283.52281
Private Condominium,34635.54476,31871.36676
Private Condominium,34635.54476,31871.366759999997
Private Condominium,34635.54476,31871.36676
Private Condominium,37000.05083,28237.33008
Private Condominium,31686.63635,29466.47218
Private Condominium,31686.63635,29466.47218
Private Condominium,30985.65944,28119.43308
Private Condominium,30985.65944,28119.43308
Private Condominium,38205.82943,33341.91719
Private Condominium,38205.82943,33341.91719
Private Condominium,29175.62743,22610.76877
Private Condominium,29175.62743,22610.76877
Private Condominium,33116.45355,28930.332990000003
Private Condominium,33116.45355,28930.33299
Private Condominium,32667.28592,33698.5967
Private Condominium,32485.42856,30194.08646
Private Condominium,31732.88874,27047.67666
Private Condominium,30938.49217,28573.25503
Private Condominium,34359.99589,28973.10365
Private Condominium,34359.99589,28973.103649999997
Private Condominium,34359.99589,28973.10365
Private Condominium,31444.93743,35508.41576
Private Condominium,31444.93743,35508.41576
Private Condominium,32675.867760000005,35001.74821
Private Condominium,32675.867760000005,35001.74821
Private Condominium,30712.74898,26826.42275
Private Condominium,30712.74898,26826.42275
Private Condominium,38389.38458,32577.95147
Private Condominium,38192.7875,32976.83923
Private Condominium,32338.80826,36908.06256
Private Condominium,33098.54355,29391.44005
Private Condominium,33098.54355,29391.44005
Private Condominium,33098.54355,29391.44005
Private Condominium,32101.20746,36277.1188
Private Condominium,32101.20746,36277.1188
Private Condominium,33031.78941,29749.18482
Private Condominium,28449.82075,29353.22704
Private Condominium,28449.82075,29353.22704
Private Condominium,31487.80728,29415.96417
Private Condominium,31487.80728,29415.96417
Private Condominium,31487.807279999997,29415.964170000003
Private Condominium,33966.50354,29637.95103
Private Condominium,33022.1666,30386.95788
Private Condominium,31698.50965,28592.24408
Private Condominium,32144.73809,26588.223160000005
Private Condominium,32144.73809,26588.22316
Private Condominium,30284.90126,28462.63171
Private Condominium,30936.48529,28337.67349
Private Condominium,30936.48529,28337.67349
Private Condominium,30936.48529,28337.67349
Private Condominium,35404.27824,32049.20109
Private Condominium,35404.27824,32049.20109
