District,Location
1,Boat Quay / Raffles Place / Marina
2,Anson / Shenton Way / Tanjong Pagar
3,Alexandra / Redhill / Tiong Bahru
4,Harbourfront / Keppel / Telok Blangah
5,Buona Vista / Clementi / West Coast
6,Beach Road (part) / City Hall / North Bridge Road
7,Beach Road / Bencoolen Road / Bugis
8,Farrer Park / Little India / Serangoon Road
9,Cairnhill / Orchard / River Valley
10,Bukit Timah / Holland Road / Orchard Boulevard
11,Dunearn Road / Newton / Novena
12,Balestier / Toa Payoh
13,Braddell  / Macpherson / Potong Pasir
14,Eunos / Geylang / Paya Lebar
15,East Coast / Joo Chiat / Katong / Marine Parade
16,Bedok / Chai Chee / Upper East Coast
17,Changi / Flora / Loyang
18,Pasir Ris / Simei / Tampines
19,Hougang / Punggol / Sengkang
20,Ang Mo Kio / Bishan / Thomson
21,Hume Avenue / Ulu Pandan / Upper Bukit Timah
22,Boon Lay / Jurong / Tuas
23,Bukit Batok  / Bukit Panjang / Choa Chu Kang
24,Lim Chu Kang / Sungei Gedong / Tengah
25,Admiralty Road / Kranji / Woodlands
26,Springleaf / Tagore / Upper Thomson
27,Admiralty Drive / Sembawang / Yishun
28,Seletar / Yio Chu Kang
