street,x,project,y,rental_areaSqm,rental_leaseDate,rental_propertyType,rental_district,rental_areaSqft,rental_noOfBedRoom,rental_rent
ELLIOT ROAD,38865.17182,ELLIOT AT THE EAST COAST,32621.92134,210-220,0123,Non-landed Properties,15,2300-2400,3,6000
ELLIOT ROAD,38865.17182,ELLIOT AT THE EAST COAST,32621.92134,120-130,0123,Non-landed Properties,15,1300-1400,3,4600
ELLIOT ROAD,38865.17182,ELLIOT AT THE EAST COAST,32621.92134,120-130,0123,Non-landed Properties,15,1300-1400,3,3700
ELLIOT ROAD,38865.17182,ELLIOT AT THE EAST COAST,32621.92134,130-140,0223,Non-landed Properties,15,1400-1500,3,4800
ELLIOT ROAD,38865.17182,ELLIOT AT THE EAST COAST,32621.92134,130-140,0223,Non-landed Properties,15,1400-1500,3,6200
HILLVIEW AVENUE,19806.57039,MERAWOODS,37591.36252,90-100,0123,Non-landed Properties,23,1000-1100,2,3200
HILLVIEW AVENUE,19806.57039,MERAWOODS,37591.36252,120-130,0123,Non-landed Properties,23,1300-1400,3,3500
HILLVIEW AVENUE,19806.57039,MERAWOODS,37591.36252,90-100,0223,Non-landed Properties,23,1000-1100,2,3500
HILLVIEW AVENUE,19806.57039,MERAWOODS,37591.36252,120-130,0223,Non-landed Properties,23,1300-1400,3,4300
HILLVIEW AVENUE,19806.57039,MERAWOODS,37591.36252,120-130,0223,Non-landed Properties,23,1300-1400,3,4800
HILLVIEW AVENUE,19806.57039,MERAWOODS,37591.36252,90-100,0323,Non-landed Properties,23,1000-1100,2,3000
JALAN BERJAYA,29477.1444785353,THOMSON RISE ESTATE,37205.1604714807,100-150,0123,Detached House,20,1000-1500,NA,5500
LORONG L TELOK KURAU,37059.04377,THE ESPIRA,32744.27496,50-60,0123,Non-landed Properties,15,500-600,1,2500
LORONG L TELOK KURAU,37059.04377,THE ESPIRA,32744.27496,50-60,0223,Non-landed Properties,15,500-600,1,2800
LORONG L TELOK KURAU,37059.04377,THE ESPIRA,32744.27496,100-110,0223,Non-landed Properties,15,1100-1200,3,2700
HILLSIDE DRIVE,32648.82133,HILBRE28,38102.25487,70-80,0123,Non-landed Properties,19,800-900,3,3300
HILLSIDE DRIVE,32648.82133,HILBRE28,38102.25487,70-80,0123,Non-landed Properties,19,800-900,3,4300
LORONG M TELOK KURAU,36928.6205,LE MERRITT,32563.33126,80-90,0223,Non-landed Properties,15,800-900,2,3700
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,70-80,0123,Non-landed Properties,03,700-800,2,5500
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,90-100,0223,Non-landed Properties,03,1000-1100,NA,6900
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,70-80,0123,Non-landed Properties,03,800-900,2,6200
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,70-80,0123,Non-landed Properties,03,800-900,2,6300
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,110-120,0123,Non-landed Properties,03,1200-1300,3,7700
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,70-80,0123,Non-landed Properties,03,800-900,NA,6500
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,70-80,0123,Non-landed Properties,03,800-900,NA,6200
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,70-80,0123,Non-landed Properties,03,700-800,2,6500
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,110-120,0123,Non-landed Properties,03,1200-1300,3,7500
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,90-100,0123,Non-landed Properties,03,1000-1100,3,7300
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,70-80,0123,Non-landed Properties,03,800-900,2,6300
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,70-80,0123,Non-landed Properties,03,800-900,2,5300
ALEXANDRA VIEW,26209.55579,ARTRA,30277.95039,70-80,0123,Non-landed Properties,03,700-800,NA,5200
